"Kepemilikan buku-buku fiksi/sastra seperti novel, kumpulan cerpen, atau kumpulan puisi",Kepemilikan buku-buku tentang sains atau teknologi,"Kepemilikan buku-buku tentang seni, musik, atau desain","Kepemilikan buku-buku tentang bahasa, termasuk kamus",Kepemilikan buku-buku yang bisa membantumu mengerjakan tugas-tugas sekolah,Kepemilikan televisi layar datar,Kepemilikan mobil,Kepemilikan Pendingin Ruangan (AC),"Kepemilikan telepon seluler (handphone) dengan akses internet (misal, smartphone)",Kepemilikan komputer tablet (Tab/iPad),Kpemilikan karya-karya seni (misal: lukisan/patung seni),Apakah kamu perempuan atau laki-laki?_Laki-laki,Apakah kamu perempuan atau laki-laki?_Perempuan,Kamar tidur untuk dirimu sendiri (tidak berbagi dengan saudara atau orang lain)_Ada,Kamar tidur untuk dirimu sendiri (tidak berbagi dengan saudara atau orang lain)_Tidak ada,Kepemilikan Meja belajar di rumah_Ada,Kepemilikan Meja belajar di rumah_Tidak ada,Tempat belajar yang tenang di rumah_Ada,Tempat belajar yang tenang di rumah_Tidak ada,"Komputer, laptop, atau tablet yang bisa kamu pakai untuk keperluan belajar atau tugas sekolah_Ada","Komputer, laptop, atau tablet yang bisa kamu pakai untuk keperluan belajar atau tugas sekolah_Tidak ada",Listrik dan lampu untuk belajar di rumah pada malam hari_Ada,Listrik dan lampu untuk belajar di rumah pada malam hari_Tidak ada,Kepemilikan perangkat lunak (software atau program komputer) pendidikan_Ada,Kepemilikan perangkat lunak (software atau program komputer) pendidikan_Tidak ada,Sambungan ke internet di rumah_Ada,Sambungan ke internet di rumah_Tidak ada,"Kepemilikan alat baca buku digital (seperti Kindle, Kobo, dll)_Ada","Kepemilikan alat baca buku digital (seperti Kindle, Kobo, dll)_Tidak ada",proporsi_pendidik_min_s1,proporsi_pendidik_sertifikasi,jumlah_peserta_didik,jumlah_pendidik,rasio_pendidik_peserta_didik,jumlah_r_kelas,jumlah_komp_milik,jumlah_perpus,jumlah_rombel,jumlah_siswa_rombel,jumlah_siswa_penerima_PIP,rasio_siswa_penerima_PIP,kurikulum_Kurikulum 2013,kurikulum_Kurikulum Merdeka,ketersediaan_internet_Ada,ketersediaan_internet_Tidak Ada,ketersediaan_listrik_Ada,Ada berapa keluarga yang tinggal bersama di rumahmu?,Apa jenjang sekolah tertinggi yang diselesaikan ayahmu?,Apa jenjang sekolah tertinggi yang diselesaikan ibumu?,"Apa pekerjaan ayahmu?_Anggota legislatif (DPR atau DPRD) atau pemimpin pemerintah (seperti gubernur, walikota, bupati)",Apa pekerjaan ayahmu?_Anggota militer (TNI/tentara) atau polisi (Polri),"Apa pekerjaan ayahmu?_Bekerja mandiri dengan keterampilan khusus (seperti montir bengkel, penjahit, tukang kayu, bertani di ladang sendiri, nelayan dengan kapal sendiri, dll.)","Apa pekerjaan ayahmu?_Buruh pabrik/tani/tambang, asisten/pembantu rumah tangga, pengemudi/sopir (termasuk taksi online), petugas keamanan, petugas kebersihan, dan karyawan usaha kecil (pelayan toko, mini market, dll)","Apa pekerjaan ayahmu?_Manajer atau pemimpin/kepala/pejabat di kantor pemerintah, perusahaan BUMN, atau perusahaan swasta.","Apa pekerjaan ayahmu?_Pekerja administratif (seperti sekretaris, tata usaha, receptionist, front office, costumer service) di kantor pemerintah (termasuk PNS), di perusahaan BUMN, dan di perusahaan swasta.","Apa pekerjaan ayahmu?_Pemilik perusahaan besar (seperti pabrik besar, restoran besar, toko dengan banyak cabang, dll.","Apa pekerjaan ayahmu?_Pemilik usaha kecil (seperti pemilik toko kecil, bengkel, warung, pemilik rental mobil, dll.)","Apa pekerjaan ayahmu?_Pensiunan dari karyawan pemerintah, perusahaan swasta, militer, atau polisi",Apa pekerjaan ayahmu?_Perwira militer (TNI/tentara) atau polisi (Polri),"Apa pekerjaan ayahmu?_Profesional (seperti dosen, guru, dokter, bidan, pengacara, jaksa, insinyur/engineer, musisi, nakoda kapal, pilot, dll.)","Apa pekerjaan ayahmu?_Tenaga pemasaran (seperti sales, marketing)","Apa pekerjaan ayahmu?_Tidak bekerja (termasuk jika sudah meninggal), mengurus rumah tangga (termasuk ibu rumah tangga), atau kerja serabutan (tidak jelas)",Apa pekerjaan ayahmu?_Tidak tahu.,"Apa pekerjaan ibumu?_Anggota legislatif (DPR atau DPRD) atau pemimpin pemerintah (seperti gubernur, walikota, bupati)",Apa pekerjaan ibumu?_Anggota militer (TNI/tentara) atau polisi (Polri),"Apa pekerjaan ibumu?_Bekerja mandiri dengan keterampilan khusus (seperti montir bengkel, penjahit, tukang kayu, bertani di ladang sendiri, nelayan dengan kapal sendiri, dll.)","Apa pekerjaan ibumu?_Buruh pabrik/tani/tambang, asisten/pembantu rumah tangga, pengemudi/sopir (termasuk taksi online), petugas keamanan, petugas kebersihan, dan karyawan usaha kecil (pelayan toko, mini market, dll)","Apa pekerjaan ibumu?_Manajer atau pemimpin/kepala/pejabat di kantor pemerintah, perusahaan BUMN, atau perusahaan swasta.","Apa pekerjaan ibumu?_Pekerja administratif (seperti sekretaris, tata usaha, receptionist, front office, costumer service) di kantor pemerintah (termasuk PNS), di perusahaan BUMN, dan di perusahaan swasta.","Apa pekerjaan ibumu?_Pemilik perusahaan besar (seperti pabrik besar, restoran besar, toko dengan banyak cabang, dll.","Apa pekerjaan ibumu?_Pemilik usaha kecil (seperti pemilik toko kecil, bengkel, warung, pemilik rental mobil, dll.)","Apa pekerjaan ibumu?_Pensiunan dari karyawan pemerintah, perusahaan swasta, militer, atau polisi",Apa pekerjaan ibumu?_Perwira militer (TNI/tentara) atau polisi (Polri),"Apa pekerjaan ibumu?_Profesional (seperti dosen, guru, dokter, bidan, pengacara, jaksa, insinyur/engineer, musisi, nakoda kapal, pilot, dll.)","Apa pekerjaan ibumu?_Tenaga pemasaran (seperti sales, marketing)","Apa pekerjaan ibumu?_Tidak bekerja (termasuk jika sudah meninggal), mengurus rumah tangga (termasuk ibu rumah tangga), atau kerja serabutan (tidak jelas)",Apa pekerjaan ibumu?_Tidak tahu.,daerah_khusus_Tidak,daerah_khusus_Ya,jenis_wilayah_KABUPATEN,jenis_wilayah_KOTA,status_wilayah_RURAL,status_wilayah_URBAN
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,97.22222,52.77778,625.0,36.0,17.36111,23.0,13.0,1.0,23.0,190.0,227.0,36.32,0.0,1.0,1.0,0.0,1.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,100.0,0.0,166.0,9.0,18.444445,3.0,2.0,0.0,6.0,60.0,37.0,22.289156,0.0,1.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,100.0,25.0,95.0,16.0,5.9375,6.0,5.0,1.0,9.0,27.0,16.0,16.842106,0.0,1.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
0.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,100.0,0.0,247.0,2.0,123.5,3.0,0.0,0.0,9.0,3.0,8.0,3.2388663,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
1.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,96.969696,51.515152,521.0,33.0,15.787879,20.0,8.0,1.0,16.0,173.0,221.0,42.418427,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,100.0,4.5454545,120.0,22.0,5.4545455,9.0,1.0,1.0,8.0,39.0,41.0,34.166668,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,100.0,20.0,159.0,10.0,15.9,5.0,2.0,1.0,6.0,54.0,59.0,37.10692,0.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,98.55073,50.724636,1126.0,69.0,16.31884,36.0,26.0,1.0,30.0,386.0,251.0,22.291296,0.0,1.0,1.0,0.0,1.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,94.73684,10.526316,153.0,19.0,8.052631,9.0,3.0,1.0,7.0,56.0,74.0,48.366013,0.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,96.969696,51.515152,521.0,33.0,15.787879,20.0,8.0,1.0,16.0,173.0,221.0,42.418427,0.0,1.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
