"Kepemilikan buku-buku fiksi/sastra seperti novel, kumpulan cerpen, atau kumpulan puisi",Kepemilikan buku-buku tentang sains atau teknologi,"Kepemilikan buku-buku tentang seni, musik, atau desain","Kepemilikan buku-buku tentang bahasa, termasuk kamus",Kepemilikan buku-buku yang bisa membantumu mengerjakan tugas-tugas sekolah,Kepemilikan televisi layar datar,Kepemilikan mobil,Kepemilikan Pendingin Ruangan (AC),"Kepemilikan telepon seluler (handphone) dengan akses internet (misal, smartphone)",Kepemilikan komputer tablet (Tab/iPad),Kpemilikan karya-karya seni (misal: lukisan/patung seni),Apakah kamu perempuan atau laki-laki?_Laki-laki,Apakah kamu perempuan atau laki-laki?_Perempuan,Kamar tidur untuk dirimu sendiri (tidak berbagi dengan saudara atau orang lain)_Ada,Kamar tidur untuk dirimu sendiri (tidak berbagi dengan saudara atau orang lain)_Tidak ada,Kepemilikan Meja belajar di rumah_Ada,Kepemilikan Meja belajar di rumah_Tidak ada,Tempat belajar yang tenang di rumah_Ada,Tempat belajar yang tenang di rumah_Tidak ada,"Komputer, laptop, atau tablet yang bisa kamu pakai untuk keperluan belajar atau tugas sekolah_Ada","Komputer, laptop, atau tablet yang bisa kamu pakai untuk keperluan belajar atau tugas sekolah_Tidak ada",Listrik dan lampu untuk belajar di rumah pada malam hari_Ada,Listrik dan lampu untuk belajar di rumah pada malam hari_Tidak ada,Kepemilikan perangkat lunak (software atau program komputer) pendidikan_Ada,Kepemilikan perangkat lunak (software atau program komputer) pendidikan_Tidak ada,Sambungan ke internet di rumah_Ada,Sambungan ke internet di rumah_Tidak ada,"Kepemilikan alat baca buku digital (seperti Kindle, Kobo, dll)_Ada","Kepemilikan alat baca buku digital (seperti Kindle, Kobo, dll)_Tidak ada",proporsi_pendidik_min_s1,proporsi_pendidik_sertifikasi,jumlah_peserta_didik,jumlah_pendidik,rasio_pendidik_peserta_didik,jumlah_r_kelas,jumlah_komp_milik,jumlah_perpus,jumlah_rombel,jumlah_siswa_rombel,jumlah_siswa_penerima_PIP,rasio_siswa_penerima_PIP,kurikulum_Kurikulum 2013,kurikulum_Kurikulum Merdeka,ketersediaan_internet_Ada,ketersediaan_internet_Tidak Ada,ketersediaan_listrik_Ada,Ada berapa keluarga yang tinggal bersama di rumahmu?,Apa jenjang sekolah tertinggi yang diselesaikan ayahmu?,Apa jenjang sekolah tertinggi yang diselesaikan ibumu?,"Apa pekerjaan ayahmu?_Anggota legislatif (DPR atau DPRD) atau pemimpin pemerintah (seperti gubernur, walikota, bupati)",Apa pekerjaan ayahmu?_Anggota militer (TNI/tentara) atau polisi (Polri),"Apa pekerjaan ayahmu?_Bekerja mandiri dengan keterampilan khusus (seperti montir bengkel, penjahit, tukang kayu, bertani di ladang sendiri, nelayan dengan kapal sendiri, dll.)","Apa pekerjaan ayahmu?_Buruh pabrik/tani/tambang, asisten/pembantu rumah tangga, pengemudi/sopir (termasuk taksi online), petugas keamanan, petugas kebersihan, dan karyawan usaha kecil (pelayan toko, mini market, dll)","Apa pekerjaan ayahmu?_Manajer atau pemimpin/kepala/pejabat di kantor pemerintah, perusahaan BUMN, atau perusahaan swasta.","Apa pekerjaan ayahmu?_Pekerja administratif (seperti sekretaris, tata usaha, receptionist, front office, costumer service) di kantor pemerintah (termasuk PNS), di perusahaan BUMN, dan di perusahaan swasta.","Apa pekerjaan ayahmu?_Pemilik perusahaan besar (seperti pabrik besar, restoran besar, toko dengan banyak cabang, dll.","Apa pekerjaan ayahmu?_Pemilik usaha kecil (seperti pemilik toko kecil, bengkel, warung, pemilik rental mobil, dll.)","Apa pekerjaan ayahmu?_Pensiunan dari karyawan pemerintah, perusahaan swasta, militer, atau polisi",Apa pekerjaan ayahmu?_Perwira militer (TNI/tentara) atau polisi (Polri),"Apa pekerjaan ayahmu?_Profesional (seperti dosen, guru, dokter, bidan, pengacara, jaksa, insinyur/engineer, musisi, nakoda kapal, pilot, dll.)","Apa pekerjaan ayahmu?_Tenaga pemasaran (seperti sales, marketing)","Apa pekerjaan ayahmu?_Tidak bekerja (termasuk jika sudah meninggal), mengurus rumah tangga (termasuk ibu rumah tangga), atau kerja serabutan (tidak jelas)",Apa pekerjaan ayahmu?_Tidak tahu.,"Apa pekerjaan ibumu?_Anggota legislatif (DPR atau DPRD) atau pemimpin pemerintah (seperti gubernur, walikota, bupati)",Apa pekerjaan ibumu?_Anggota militer (TNI/tentara) atau polisi (Polri),"Apa pekerjaan ibumu?_Bekerja mandiri dengan keterampilan khusus (seperti montir bengkel, penjahit, tukang kayu, bertani di ladang sendiri, nelayan dengan kapal sendiri, dll.)","Apa pekerjaan ibumu?_Buruh pabrik/tani/tambang, asisten/pembantu rumah tangga, pengemudi/sopir (termasuk taksi online), petugas keamanan, petugas kebersihan, dan karyawan usaha kecil (pelayan toko, mini market, dll)","Apa pekerjaan ibumu?_Manajer atau pemimpin/kepala/pejabat di kantor pemerintah, perusahaan BUMN, atau perusahaan swasta.","Apa pekerjaan ibumu?_Pekerja administratif (seperti sekretaris, tata usaha, receptionist, front office, costumer service) di kantor pemerintah (termasuk PNS), di perusahaan BUMN, dan di perusahaan swasta.","Apa pekerjaan ibumu?_Pemilik perusahaan besar (seperti pabrik besar, restoran besar, toko dengan banyak cabang, dll.","Apa pekerjaan ibumu?_Pemilik usaha kecil (seperti pemilik toko kecil, bengkel, warung, pemilik rental mobil, dll.)","Apa pekerjaan ibumu?_Pensiunan dari karyawan pemerintah, perusahaan swasta, militer, atau polisi",Apa pekerjaan ibumu?_Perwira militer (TNI/tentara) atau polisi (Polri),"Apa pekerjaan ibumu?_Profesional (seperti dosen, guru, dokter, bidan, pengacara, jaksa, insinyur/engineer, musisi, nakoda kapal, pilot, dll.)","Apa pekerjaan ibumu?_Tenaga pemasaran (seperti sales, marketing)","Apa pekerjaan ibumu?_Tidak bekerja (termasuk jika sudah meninggal), mengurus rumah tangga (termasuk ibu rumah tangga), atau kerja serabutan (tidak jelas)",Apa pekerjaan ibumu?_Tidak tahu.,daerah_khusus_Tidak,daerah_khusus_Ya,jenis_wilayah_KABUPATEN,jenis_wilayah_KOTA,status_wilayah_RURAL,status_wilayah_URBAN
2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,100.0,50.0,347.0,26.0,13.346154,14.0,6.0,1.0,14.0,125.0,82.0,23.631124,0.0,1.0,1.0,0.0,1.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,100.0,0.0,78.0,8.0,9.75,3.0,4.0,1.0,3.0,22.0,6.0,7.6923075,0.0,1.0,1.0,0.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,95.918365,57.142857,698.0,49.0,14.244898,21.0,5.0,1.0,20.0,250.0,64.0,9.169054,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,100.0,32.0,244.0,25.0,9.76,11.0,19.0,1.0,14.0,63.0,45.0,18.442623,0.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
1.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,98.50746,44.77612,1512.0,67.0,22.567163,36.0,16.0,1.0,36.0,504.0,255.0,16.86508,0.0,1.0,1.0,0.0,1.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,100.0,54.385963,1075.0,57.0,18.85965,29.0,18.0,3.0,32.0,349.0,141.0,13.116279,0.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
4.0,2.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,100.0,57.142857,1059.0,63.0,16.809525,30.0,10.0,1.0,30.0,355.0,89.0,8.404155,0.0,1.0,1.0,0.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,100.0,38.46154,132.0,13.0,10.153846,6.0,3.0,1.0,5.0,52.0,34.0,25.757576,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,100.0,61.11111,295.0,18.0,16.38889,12.0,12.0,1.0,13.0,98.0,62.0,21.016949,0.0,1.0,1.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,92.85714,50.0,715.0,28.0,25.535715,24.0,14.0,1.0,20.0,217.0,113.0,15.804195,0.0,1.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
