kd_sekolah	kurikulum	daerah_khusus	wilayah_bagian	jenis_wilayah	status_wilayah	proporsi_pendidik_min_s1	proporsi_pendidik_sertifikasi	jumlah_peserta_didik	jumlah_pendidik	rasio_pendidik_peserta_didik	jumlah_r_kelas	ketersediaan_internet	ketersediaan_listrik	jumlah_komp_milik	jumlah_perpus	jumlah_rombel	jumlah_siswa_rombel	jumlah_siswa_penerima_PIP	rasio_siswa_penerima_PIP	kd_siswa_an	Apakah kamu perempuan atau laki-laki?	Ada berapa keluarga yang tinggal bersama di rumahmu?	Apa jenjang sekolah tertinggi yang diselesaikan ayahmu?	Apa jenjang sekolah tertinggi yang diselesaikan ibumu?	Apa pekerjaan ayahmu?	Apa pekerjaan ibumu?	Kepemilikan Meja belajar di rumah	Kamar tidur untuk dirimu sendiri (tidak berbagi dengan saudara atau orang lain)	Tempat belajar yang tenang di rumah	Listrik dan lampu untuk belajar di rumah pada malam hari	Komputer, laptop, atau tablet yang bisa kamu pakai untuk keperluan belajar atau tugas sekolah	Kepemilikan perangkat lunak (software atau program komputer) pendidikan	Sambungan ke internet di rumah	Kepemilikan alat baca buku digital (seperti Kindle, Kobo, dll)	Kepemilikan buku-buku fiksi/sastra seperti novel, kumpulan cerpen, atau kumpulan puisi	Kepemilikan buku-buku tentang sains atau teknologi	Kepemilikan buku-buku tentang seni, musik, atau desain	Kepemilikan buku-buku tentang bahasa, termasuk kamus	Kepemilikan buku-buku yang bisa membantumu mengerjakan tugas-tugas sekolah	Kepemilikan televisi layar datar	Kepemilikan mobil	Kepemilikan Pendingin Ruangan (AC)	Kepemilikan telepon seluler (handphone) dengan akses internet (misal, smartphone)	Kepemilikan komputer tablet (Tab/iPad)	Kpemilikan karya-karya seni (misal: lukisan/patung seni)	kelas_nilai_AN
8500067	Kurikulum 2013	Tidak	Indonesia Timur	KABUPATEN	URBAN	100.0	0.0	94.0	5.0	18.8	8.0	Ada	Ada	0.0	0.0	8.0	13.0	6.0	6.38297872340426	8500067-018-24	Laki-laki	Hanya keluarga intiku sendiri (orang tua dan saudara kandungku saja)	SD	SD	Tidak bekerja (termasuk jika sudah meninggal), mengurus rumah tangga (termasuk ibu rumah tangga), atau kerja serabutan (tidak jelas)	Tidak bekerja (termasuk jika sudah meninggal), mengurus rumah tangga (termasuk ibu rumah tangga), atau kerja serabutan (tidak jelas)	Ada	Tidak ada	Ada	Ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Kira-kira 1-10 buku	Satu	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	rendah
8500067	Kurikulum 2013	Tidak	Indonesia Timur	KABUPATEN	URBAN	100.0	0.0	94.0	5.0	18.8	8.0	Ada	Ada	0.0	0.0	8.0	13.0	6.0	6.38297872340426	8500067-027-24	Laki-laki	Keluargaku bersama tiga atau lebih keluarga lain	Tidak Tahu	Tidak Tahu	Tidak bekerja (termasuk jika sudah meninggal), mengurus rumah tangga (termasuk ibu rumah tangga), atau kerja serabutan (tidak jelas)	Tidak bekerja (termasuk jika sudah meninggal), mengurus rumah tangga (termasuk ibu rumah tangga), atau kerja serabutan (tidak jelas)	Ada	Ada	Ada	Ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Kira-kira 11-25 buku	Kira-kira 1-10 buku	Tidak ada	Kira-kira 11-25 buku	Kira-kira lebih dari 100 buku	Satu	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tiga atau lebih	rendah
8500067	Kurikulum 2013	Tidak	Indonesia Timur	KABUPATEN	URBAN	100.0	0.0	94.0	5.0	18.8	8.0	Ada	Ada	0.0	0.0	8.0	13.0	6.0	6.38297872340426	8500067-045-24	Laki-laki	Hanya keluarga intiku sendiri (orang tua dan saudara kandungku saja)	SMA/SMK	SMA/SMK	Tidak bekerja (termasuk jika sudah meninggal), mengurus rumah tangga (termasuk ibu rumah tangga), atau kerja serabutan (tidak jelas)	Tidak bekerja (termasuk jika sudah meninggal), mengurus rumah tangga (termasuk ibu rumah tangga), atau kerja serabutan (tidak jelas)	Tidak ada	Ada	Tidak ada	Ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	cukup
8500067	Kurikulum 2013	Tidak	Indonesia Timur	KABUPATEN	URBAN	100.0	0.0	94.0	5.0	18.8	8.0	Ada	Ada	0.0	0.0	8.0	13.0	6.0	6.38297872340426	8500067-054-24	Laki-laki	Hanya keluarga intiku sendiri (orang tua dan saudara kandungku saja)	SMA/SMK	SMP	Buruh pabrik/tani/tambang, asisten/pembantu rumah tangga, pengemudi/sopir (termasuk taksi online), petugas keamanan, petugas kebersihan, dan karyawan usaha kecil (pelayan toko, mini market, dll)	Tidak bekerja (termasuk jika sudah meninggal), mengurus rumah tangga (termasuk ibu rumah tangga), atau kerja serabutan (tidak jelas)	Tidak ada	Ada	Ada	Ada	Tidak ada	Tidak ada	Ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Kira-kira 1-10 buku	Satu	Tidak ada	Tidak ada	Tiga atau lebih	Tidak ada	Tidak ada	rendah
8500067	Kurikulum 2013	Tidak	Indonesia Timur	KABUPATEN	URBAN	100.0	0.0	94.0	5.0	18.8	8.0	Ada	Ada	0.0	0.0	8.0	13.0	6.0	6.38297872340426	8500067-072-24	Perempuan	Hanya keluarga intiku sendiri (orang tua dan saudara kandungku saja)	SD	SD	Buruh pabrik/tani/tambang, asisten/pembantu rumah tangga, pengemudi/sopir (termasuk taksi online), petugas keamanan, petugas kebersihan, dan karyawan usaha kecil (pelayan toko, mini market, dll)	Tidak bekerja (termasuk jika sudah meninggal), mengurus rumah tangga (termasuk ibu rumah tangga), atau kerja serabutan (tidak jelas)	Tidak ada	Ada	Ada	Ada	Tidak ada	Tidak ada	Ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Kira-kira 1-10 buku	Satu	Tidak ada	Tidak ada	Dua	Tidak ada	Tidak ada	cukup
8500067	Kurikulum 2013	Tidak	Indonesia Timur	KABUPATEN	URBAN	100.0	0.0	94.0	5.0	18.8	8.0	Ada	Ada	0.0	0.0	8.0	13.0	6.0	6.38297872340426	8500067-107-24	Laki-laki	Keluargaku bersama dua keluarga lain	SD	SD	Tidak bekerja (termasuk jika sudah meninggal), mengurus rumah tangga (termasuk ibu rumah tangga), atau kerja serabutan (tidak jelas)	Tidak bekerja (termasuk jika sudah meninggal), mengurus rumah tangga (termasuk ibu rumah tangga), atau kerja serabutan (tidak jelas)	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Kira-kira 1-10 buku	Satu	Tidak ada	Tidak ada	Dua	Tidak ada	Tidak ada	rendah
8500067	Kurikulum 2013	Tidak	Indonesia Timur	KABUPATEN	URBAN	100.0	0.0	94.0	5.0	18.8	8.0	Ada	Ada	0.0	0.0	8.0	13.0	6.0	6.38297872340426	8500067-143-24	Perempuan	Hanya keluarga intiku sendiri (orang tua dan saudara kandungku saja)	SMA/SMK	SMP	Tidak bekerja (termasuk jika sudah meninggal), mengurus rumah tangga (termasuk ibu rumah tangga), atau kerja serabutan (tidak jelas)	Tidak tahu.	Tidak ada	Tidak ada	Ada	Ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Kira-kira 1-10 buku	Tidak ada	Kira-kira 1-10 buku	Kira-kira 1-10 buku	Tidak ada	Tidak ada	Tidak ada	Satu	Tidak ada	Tidak ada	cukup
8500067	Kurikulum 2013	Tidak	Indonesia Timur	KABUPATEN	URBAN	100.0	0.0	94.0	5.0	18.8	8.0	Ada	Ada	0.0	0.0	8.0	13.0	6.0	6.38297872340426	8500067-152-24	Laki-laki	Hanya keluarga intiku sendiri (orang tua dan saudara kandungku saja)	SD	SD	Buruh pabrik/tani/tambang, asisten/pembantu rumah tangga, pengemudi/sopir (termasuk taksi online), petugas keamanan, petugas kebersihan, dan karyawan usaha kecil (pelayan toko, mini market, dll)	Buruh pabrik/tani/tambang, asisten/pembantu rumah tangga, pengemudi/sopir (termasuk taksi online), petugas keamanan, petugas kebersihan, dan karyawan usaha kecil (pelayan toko, mini market, dll)	Tidak ada	Ada	Ada	Ada	Tidak ada	Tidak ada	Ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Kira-kira 1-10 buku	Satu	Tidak ada	Tidak ada	Dua	Tidak ada	Tidak ada	cukup
8500067	Kurikulum 2013	Tidak	Indonesia Timur	KABUPATEN	URBAN	100.0	0.0	94.0	5.0	18.8	8.0	Ada	Ada	0.0	0.0	8.0	13.0	6.0	6.38297872340426	8500067-196-24	Perempuan	Keluargaku bersama dua keluarga lain	SMP	SD	Tidak bekerja (termasuk jika sudah meninggal), mengurus rumah tangga (termasuk ibu rumah tangga), atau kerja serabutan (tidak jelas)	Tidak bekerja (termasuk jika sudah meninggal), mengurus rumah tangga (termasuk ibu rumah tangga), atau kerja serabutan (tidak jelas)	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Tidak ada	cukup
8500067	Kurikulum 2013	Tidak	Indonesia Timur	KABUPATEN	URBAN	100.0	0.0	94.0	5.0	18.8	8.0	Ada	Ada	0.0	0.0	8.0	13.0	6.0	6.38297872340426	8500067-205-24	Perempuan	Hanya keluarga intiku sendiri (orang tua dan saudara kandungku saja)	SD	SD	Buruh pabrik/tani/tambang, asisten/pembantu rumah tangga, pengemudi/sopir (termasuk taksi online), petugas keamanan, petugas kebersihan, dan karyawan usaha kecil (pelayan toko, mini market, dll)	Tidak bekerja (termasuk jika sudah meninggal), mengurus rumah tangga (termasuk ibu rumah tangga), atau kerja serabutan (tidak jelas)	Tidak ada	Ada	Ada	Ada	Tidak ada	Tidak ada	Ada	Tidak ada	Tidak ada	Kira-kira 1-10 buku	Kira-kira 1-10 buku	Tidak ada	Kira-kira 1-10 buku	Satu	Tidak ada	Tidak ada	Satu	Tidak ada	Tidak ada	rendah
8500059	Kurikulum 2013	Tidak	Indonesia Timur	KABUPATEN	RURAL	100.0	0.0	247.0	2.0	123.5	3.0	Ada	Ada	0.0	0.0	9.0	3.0	8.0	3.23886639676113	8500059-018-24	Perempuan	Hanya keluarga intiku sendiri (orang tua dan saudara kandungku saja)	Tidak Tahu	SMA/SMK	Anggota legislatif (DPR atau DPRD) atau pemimpin pemerintah (seperti gubernur, walikota, bupati)	Anggota militer (TNI/tentara) atau polisi (Polri)	Tidak ada	Tidak ada	Tidak ada	Tidak ada	Ada	Tidak ada	Ada	Ada	Tidak ada	Kira-kira 1-10 buku	Kira-kira 11-25 buku	Kira-kira 26-100 buku	Kira-kira 11-25 buku	Tidak ada	Satu	Dua	Tiga atau lebih	Tiga atau lebih	Tiga atau lebih	cukup
